#======= TRAJECTORY BEGIN: Turn Left 90 Deg
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     6.299       4.124       0.000       0.000       0.000       0.000       0.200
#--------Waypoint:     8.839       6.655       1.571       2.540       2.530       1.571       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.74320  m/s
#--------Maximum Acceleration:      2.03200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.74320  m/s
#--------Track width:               1.06680  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               1.06680  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.09000  V
#--------Feedforward Kv:            3.50394  V s/m
#--------Feedforward Ka:            0.39370  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    2.03200,    0.00000,    0.00000,    0.00000,    0.35540,Segment:  1
   0.25676,    0.52174,    2.03200,    0.06698,    0.00080,    0.02393,    0.35911,Segment:  2
   0.36249,    0.73659,    2.03200,    0.13346,    0.00319,    0.04794,    0.36266,Segment:  3
   0.44322,    0.90062,    2.03200,    0.19942,    0.00715,    0.07202,    0.36607,Segment:  4
   0.51095,    1.03825,    2.03200,    0.26485,    0.01266,    0.09616,    0.36932,Segment:  5
   0.57035,    1.15895,    2.03200,    0.32972,    0.01971,    0.12036,    0.37241,Segment:  6
   0.62382,    1.26760,    2.03200,    0.39403,    0.02828,    0.14462,    0.37535,Segment:  7
   0.67279,    1.36711,    2.03200,    0.45775,    0.03835,    0.16893,    0.37814,Segment:  8
   0.71819,    1.45936,    2.03200,    0.52086,    0.04991,    0.19327,    0.38077,Segment:  9
   0.76067,    1.54569,    2.03200,    0.58335,    0.06293,    0.21766,    0.38326,Segment:  10
   0.80071,    1.62705,    2.03200,    0.64520,    0.07740,    0.24208,    0.38561,Segment:  11
   0.87482,    1.77763,    2.03200,    0.76690,    0.11063,    0.29101,    0.38988,Segment:  12
   0.94257,    1.91530,    0.69167,    0.88582,    0.14944,    0.34002,    0.39362,Segment:  13
   1.00666,    1.95963,   -0.10843,    1.00183,    0.19371,    0.38911,    0.39686,Segment:  14
   1.06971,    1.95279,   -0.09138,    1.11477,    0.24328,    0.43824,    0.39964,Segment:  15
   1.13260,    1.94704,   -0.07605,    1.22451,    0.29804,    0.48740,    0.40201,Segment:  16
   1.19536,    1.94227,   -0.06222,    1.33090,    0.35782,    0.53659,    0.40398,Segment:  17
   1.25800,    1.93837,   -0.04961,    1.43379,    0.42250,    0.58580,    0.40561,Segment:  18
   1.32054,    1.93527,   -0.03795,    1.53306,    0.49194,    0.63502,    0.40691,Segment:  19
   1.38302,    1.93290,   -0.02693,    1.62856,    0.56600,    0.68427,    0.40791,Segment:  20
   1.44547,    1.93122,   -0.01623,    1.72013,    0.64454,    0.73353,    0.40862,Segment:  21
   1.50790,    1.93021,   -0.00552,    1.80765,    0.72741,    0.78281,    0.40905,Segment:  22
   1.57034,    1.92986,    0.00554,    1.89097,    0.81449,    0.83213,    0.40920,Segment:  23
   1.63282,    1.93021,    0.01727,    1.96994,    0.90563,    0.88147,    0.40905,Segment:  24
   1.69537,    1.93129,    0.02997,    2.04443,    1.00069,    0.93086,    0.40859,Segment:  25
   1.75802,    1.93316,    0.04395,    2.11428,    1.09954,    0.98027,    0.40780,Segment:  26
   1.82078,    1.93592,    0.05945,    2.17937,    1.20204,    1.02972,    0.40664,Segment:  27
   1.88368,    1.93966,    0.07672,    2.23955,    1.30804,    1.07920,    0.40507,Segment:  28
   1.94674,    1.94450,    0.09594,    2.29467,    1.41741,    1.12870,    0.40306,Segment:  29
   2.00998,    1.95057,   -0.56403,    2.34459,    1.53000,    1.17820,    0.40056,Segment:  30
   2.07414,    1.91438,   -2.03200,    2.38917,    1.64569,    1.22768,    0.39752,Segment:  31
