#======= TRAJECTORY BEGIN: Blue Auto U Reverse
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.940       0.771       0.000       0.000       0.000       0.000       6.000
#--------Waypoint:     4.436       0.771      -0.017       2.497       0.000      -0.017       3.200
#--------Waypoint:     6.242       1.812       1.571       4.302       1.041       1.571       1.710
#--------Waypoint:     5.166       2.891       3.142       3.227       2.120       3.142       1.400
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.74320  m/s
#--------Maximum Acceleration:      1.90500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.74320  m/s
#--------Track width:               1.06680  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               1.06680  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.09000  V
#--------Feedforward Kv:            3.50394  V s/m
#--------Feedforward Ka:            0.39370  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.01600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.90500,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.31358,    0.59737,    1.90500,    0.09366,    0.00000,    0.00003,    0.00055,Segment:  2
   0.44285,    0.84364,    1.90500,    0.18680,    0.00001,    0.00010,    0.00107,Segment:  3
   0.54117,    1.03092,    1.90500,    0.27895,    0.00002,    0.00022,    0.00158,Segment:  4
   0.62298,    1.18678,    1.90500,    0.36967,    0.00005,    0.00039,    0.00209,Segment:  5
   0.69386,    1.32181,    1.90500,    0.45858,    0.00009,    0.00060,    0.00262,Segment:  6
   0.75665,    1.44141,    1.90500,    0.54532,    0.00016,    0.00085,    0.00320,Segment:  7
   0.81301,    1.54878,    1.90500,    0.62959,    0.00024,    0.00115,    0.00382,Segment:  8
   0.86405,    1.64601,    1.90500,    0.71111,    0.00035,    0.00149,    0.00453,Segment:  9
   0.91052,    1.73454,    1.90500,    0.78967,    0.00048,    0.00187,    0.00533,Segment:  10
   0.95299,    1.81545,    1.90500,    0.86505,    0.00063,    0.00231,    0.00625,Segment:  11
   0.99189,    1.88955,    1.90500,    0.93711,    0.00082,    0.00280,    0.00732,Segment:  12
   1.02755,    1.95749,    1.25011,    1.00571,    0.00103,    0.00334,    0.00859,Segment:  13
   1.09088,    2.03665,   -1.90500,    1.13217,    0.00153,    0.00462,    0.01190,Segment:  14
   1.14728,    1.92919,   -1.90500,    1.24402,    0.00213,    0.00620,    0.01672,Segment:  15
   1.19901,    1.83064,   -1.90500,    1.34127,    0.00282,    0.00814,    0.02395,Segment:  16
   1.24552,    1.74206,   -1.90500,    1.42433,    0.00359,    0.01055,    0.03502,Segment:  17
   1.32153,    1.59725,   -1.90500,    1.55124,    0.00529,    0.01720,    0.07893,Segment:  18
   1.37518,    1.49505,   -1.90500,    1.63417,    0.00707,    0.02693,    0.17090,Segment:  19
   1.41063,    1.42752,   -1.90500,    1.68594,    0.00873,    0.03720,    0.16795,Segment:  20
   1.46122,    1.33115,    1.90500,    1.75569,    0.01087,    0.01265,   -0.57338,Segment:  21
   1.54658,    1.49376,    1.90500,    1.87626,    0.01031,   -0.01245,   -0.05552,Segment:  22
   1.61484,    1.62380,    1.90500,    1.98265,    0.00878,   -0.01567,   -0.01569,Segment:  23
   1.65510,    1.70049,    1.90500,    2.04955,    0.00770,   -0.01645,   -0.00847,Segment:  24
   1.69865,    1.78346,    1.90500,    2.12542,    0.00643,   -0.01693,   -0.00455,Segment:  25
   1.74471,    1.87119,    1.90500,    2.20956,    0.00499,   -0.01721,   -0.00237,Segment:  26
   1.79230,    1.96186,    1.90500,    2.30076,    0.00342,   -0.01736,   -0.00113,Segment:  27
