#======= TRAJECTORY BEGIN: Blue Auto U
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.786       0.713      -0.209      -0.000       0.000       0.000       0.200
#--------Waypoint:     7.029       0.983      -3.107       5.072       1.354      -2.898       0.200
#--------Waypoint:     4.417       0.752      -3.090       2.566       0.585      -2.880       0.200
#--------Waypoint:     1.805       0.617      -2.880       0.039      -0.090      -2.670       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      1.01600  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Track width:               0.53000  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               0.53000  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.90000  V
#--------Feedforward Kv:            8.73976  V s/m
#--------Feedforward Ka:            1.91969  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,        NaN,        NaN,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.00000,        NaN,        NaN,    0.00331,    0.00005,    0.04133,   18.70507,Segment:  2
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  3
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  4
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  5
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  6
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  7
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  8
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  9
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  10
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  11
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  12
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  13
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  14
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  15
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  16
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  17
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  18
   0.00000,    0.00000,    0.00000,   -1.59883,   -1.06888,    0.20944,    0.00000,Segment:  19
