#======= TRAJECTORY BEGIN: Swarcie 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     6.528       4.674       3.142       0.000       0.000       0.000       0.200
#--------Waypoint:     2.420       4.664      -2.992       4.108       0.010       0.149       0.200
#--------Waypoint:     1.803       3.962       3.142       4.724       0.711       0.000       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      1.01600  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.01600,    0.00000,    0.00000,    0.00000,   -0.04155,Segment:  1
   0.38964,    0.39587,    1.01600,    0.07712,   -0.00012,   -0.00312,   -0.03927,Segment:  2
   0.55136,    0.56019,    1.01600,    0.15443,   -0.00048,   -0.00607,   -0.03707,Segment:  3
   0.67564,    0.68645,    1.01600,    0.23189,   -0.00106,   -0.00886,   -0.03495,Segment:  4
   0.78053,    0.79302,    1.01600,    0.30948,   -0.00185,   -0.01149,   -0.03289,Segment:  5
   0.87302,    0.88699,    1.01600,    0.38717,   -0.00284,   -0.01396,   -0.03090,Segment:  6
   0.95668,    0.97199,    1.01600,    0.46492,   -0.00401,   -0.01629,   -0.02895,Segment:  7
   1.03363,    1.05017,    1.01600,    0.54271,   -0.00537,   -0.01847,   -0.02706,Segment:  8
   1.10525,    1.12294,    1.01600,    0.62051,   -0.00688,   -0.02050,   -0.02521,Segment:  9
   1.17249,    1.19125,    1.01600,    0.69830,   -0.00855,   -0.02239,   -0.02340,Segment:  10
   1.23604,    1.25582,    0.22512,    0.77604,   -0.01036,   -0.02414,   -0.02161,Segment:  11
   1.29757,    1.26967,    0.00047,    0.85370,   -0.01230,   -0.02575,   -0.01985,Segment:  12
   1.35867,    1.26970,    0.00046,    0.93126,   -0.01436,   -0.02723,   -0.01810,Segment:  13
   1.41968,    1.26973,    0.00047,    1.00869,   -0.01652,   -0.02856,   -0.01637,Segment:  14
   1.48055,    1.26976,    0.00047,    1.08595,   -0.01877,   -0.02976,   -0.01465,Segment:  15
   1.54128,    1.26979,    0.00047,    1.16302,   -0.02111,   -0.03082,   -0.01292,Segment:  16
   1.60183,    1.26981,    0.00048,    1.23988,   -0.02352,   -0.03175,   -0.01119,Segment:  17
   1.66219,    1.26984,    0.00049,    1.31648,   -0.02598,   -0.03254,   -0.00945,Segment:  18
   1.72233,    1.26987,    0.00049,    1.39281,   -0.02849,   -0.03320,   -0.00770,Segment:  19
   1.78224,    1.26990,    0.00051,    1.46884,   -0.03104,   -0.03371,   -0.00591,Segment:  20
   1.84187,    1.26993,    0.00052,    1.54453,   -0.03360,   -0.03409,   -0.00410,Segment:  21
   1.90122,    1.26996,    0.00054,    1.61986,   -0.03618,   -0.03433,   -0.00225,Segment:  22
   1.96026,    1.26999,   -0.00035,    1.69479,   -0.03876,   -0.03443,   -0.00035,Segment:  23
   2.01897,    1.26997,   -0.00057,    1.76931,   -0.04133,   -0.03439,    0.00160,Segment:  24
   2.07733,    1.26994,   -0.00060,    1.84338,   -0.04387,   -0.03419,    0.00361,Segment:  25
   2.13531,    1.26991,   -0.00063,    1.91696,   -0.04638,   -0.03385,    0.00569,Segment:  26
   2.19289,    1.26987,   -0.00066,    1.99005,   -0.04883,   -0.03336,    0.00786,Segment:  27
   2.25005,    1.26983,   -0.00069,    2.06259,   -0.05123,   -0.03271,    0.01011,Segment:  28
   2.30677,    1.26979,   -0.00073,    2.13458,   -0.05356,   -0.03189,    0.01248,Segment:  29
   2.36302,    1.26975,   -0.00077,    2.20597,   -0.05580,   -0.03091,    0.01496,Segment:  30
   2.41878,    1.26971,   -0.00082,    2.27674,   -0.05795,   -0.02976,    0.01757,Segment:  31
   2.47403,    1.26966,   -0.00088,    2.34685,   -0.05999,   -0.02844,    0.02033,Segment:  32
   2.52875,    1.26961,   -0.00094,    2.41629,   -0.06192,   -0.02692,    0.02326,Segment:  33
   2.58290,    1.26956,   -0.00101,    2.48503,   -0.06371,   -0.02522,    0.02638,Segment:  34
   2.63648,    1.26951,   -0.00109,    2.55302,   -0.06536,   -0.02331,    0.02971,Segment:  35
   2.68945,    1.26945,   -0.00118,    2.62025,   -0.06686,   -0.02120,    0.03327,Segment:  36
   2.74179,    1.26939,   -0.00128,    2.68669,   -0.06819,   -0.01886,    0.03709,Segment:  37
   2.79349,    1.26932,   -0.00139,    2.75230,   -0.06935,   -0.01629,    0.04121,Segment:  38
   2.84452,    1.26925,   -0.00159,    2.81706,   -0.07031,   -0.01348,    0.04566,Segment:  39
   2.94448,    1.26910,   -0.00193,    2.94392,   -0.07163,   -0.00707,    0.05573,Segment:  40
   3.04149,    1.26891,   -0.00260,    3.06702,   -0.07205,    0.00050,    0.06771,Segment:  41
   3.13538,    1.26866,   -0.00334,    3.18615,   -0.07148,    0.00939,    0.08213,Segment:  42
   3.22598,    1.26836,   -0.00436,    3.30106,   -0.06982,    0.01980,    0.09973,Segment:  43
   3.31312,    1.26798,   -0.00581,    3.41154,   -0.06698,    0.03197,    0.12148,Segment:  44
   3.39664,    1.26750,   -0.00789,    3.51734,   -0.06287,    0.04621,    0.14874,Segment:  45
   3.47639,    1.26687,   -0.01096,    3.61824,   -0.05738,    0.06291,    0.18343,Segment:  46
   3.55221,    1.26603,   -0.01558,    3.71402,   -0.05044,    0.08256,    0.22828,Segment:  47
   3.62397,    1.26492,   -0.02270,    3.80443,   -0.04194,    0.10582,    0.28727,Segment:  48
   3.69155,    1.26338,   -0.03398,    3.88926,   -0.03179,    0.13353,    0.36629,Segment:  49
   3.75484,    1.26123,   -0.05230,    3.96826,   -0.01989,    0.16683,    0.47428,Segment:  50
   3.81378,    1.25815,   -0.08274,    4.04122,   -0.00615,    0.20725,    0.62495,Segment:  51
   3.86831,    1.25364,   -0.08169,    4.10789,    0.00952,    0.25686,    0.83972,Segment:  52
   3.91849,    1.24954,   -0.10657,    4.16816,    0.02717,    0.31504,    1.02068,Segment:  53
   3.96461,    1.24462,   -0.13365,    4.22226,    0.04670,    0.37963,    1.23327,Segment:  54
