#======= TRAJECTORY BEGIN: Swarcie Config
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.803       5.080       0.000       0.000       0.000       0.000       0.200
#--------Waypoint:     6.528       4.674       0.000       4.724      -0.406       0.000       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      1.01600  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.01600,    0.00000,    0.00000,    0.00000,   -0.07531,Segment:  1
   0.41670,    0.42337,    1.01600,    0.08821,   -0.00029,   -0.00670,   -0.07649,Segment:  2
   0.58702,    0.59641,    1.01600,    0.17505,   -0.00117,   -0.01338,   -0.07754,Segment:  3
   0.71620,    0.72766,    1.01600,    0.26056,   -0.00260,   -0.02006,   -0.07843,Segment:  4
   0.82389,    0.83708,    1.01600,    0.34479,   -0.00456,   -0.02670,   -0.07917,Segment:  5
   0.91774,    0.93242,    1.01600,    0.42778,   -0.00705,   -0.03329,   -0.07972,Segment:  6
   1.00169,    1.01771,    1.01600,    0.50958,   -0.01005,   -0.03984,   -0.08008,Segment:  7
   1.07809,    1.09534,    1.01600,    0.59023,   -0.01352,   -0.04631,   -0.08023,Segment:  8
   1.14850,    1.16688,    1.01600,    0.66978,   -0.01746,   -0.05270,   -0.08016,Segment:  9
   1.21400,    1.23342,    0.56766,    0.74826,   -0.02185,   -0.05899,   -0.07985,Segment:  10
   1.27604,    1.26864,    0.00012,    0.82573,   -0.02667,   -0.06516,   -0.07929,Segment:  11
   1.33648,    1.26865,    0.00020,    0.90222,   -0.03189,   -0.07121,   -0.07846,Segment:  12
   1.39620,    1.26866,    0.00030,    0.97779,   -0.03750,   -0.07712,   -0.07736,Segment:  13
   1.45526,    1.26868,    0.00039,    1.05247,   -0.04349,   -0.08286,   -0.07597,Segment:  14
   1.51367,    1.26870,    0.00050,    1.12631,   -0.04983,   -0.08843,   -0.07430,Segment:  15
   1.57149,    1.26873,    0.00060,    1.19935,   -0.05651,   -0.09381,   -0.07233,Segment:  16
   1.62873,    1.26876,    0.00071,    1.27165,   -0.06350,   -0.09899,   -0.07006,Segment:  17
   1.68545,    1.26881,    0.00082,    1.34323,   -0.07079,   -0.10394,   -0.06750,Segment:  18
   1.74166,    1.26885,    0.00094,    1.41415,   -0.07836,   -0.10865,   -0.06463,Segment:  19
   1.79741,    1.26890,    0.00105,    1.48446,   -0.08619,   -0.11311,   -0.06147,Segment:  20
   1.85273,    1.26896,    0.00116,    1.55419,   -0.09426,   -0.11731,   -0.05802,Segment:  21
   1.90765,    1.26903,    0.00127,    1.62339,   -0.10255,   -0.12123,   -0.05430,Segment:  22
   1.96221,    1.26909,    0.00137,    1.69210,   -0.11105,   -0.12485,   -0.05030,Segment:  23
   2.01643,    1.26917,    0.00147,    1.76037,   -0.11974,   -0.12817,   -0.04606,Segment:  24
   2.07036,    1.26925,    0.00156,    1.82824,   -0.12859,   -0.13117,   -0.04158,Segment:  25
   2.12403,    1.26933,    0.00164,    1.89576,   -0.13759,   -0.13384,   -0.03688,Segment:  26
   2.17746,    1.26942,    0.00171,    1.96297,   -0.14672,   -0.13618,   -0.03199,Segment:  27
   2.23069,    1.26951,    0.00178,    2.02991,   -0.15596,   -0.13817,   -0.02693,Segment:  28
   2.28376,    1.26960,    0.00183,    2.09664,   -0.16530,   -0.13981,   -0.02172,Segment:  29
   2.33669,    1.26970,    0.00187,    2.16318,   -0.17471,   -0.14109,   -0.01640,Segment:  30
   2.38953,    1.26980,    0.00189,    2.22959,   -0.18417,   -0.14201,   -0.01098,Segment:  31
   2.44229,    1.26990,    0.00191,    2.29592,   -0.19368,   -0.14256,   -0.00551,Segment:  32
   2.49502,    1.27000,   -0.00191,    2.36220,   -0.20320,   -0.14275,    0.00000,Segment:  33
   2.54775,    1.26990,   -0.00189,    2.42848,   -0.21272,   -0.14256,    0.00551,Segment:  34
   2.60051,    1.26980,   -0.00187,    2.49481,   -0.22223,   -0.14201,    0.01098,Segment:  35
   2.65334,    1.26970,   -0.00183,    2.56122,   -0.23169,   -0.14109,    0.01640,Segment:  36
   2.70628,    1.26960,   -0.00178,    2.62776,   -0.24110,   -0.13981,    0.02172,Segment:  37
   2.75935,    1.26951,   -0.00171,    2.69449,   -0.25044,   -0.13817,    0.02693,Segment:  38
   2.81258,    1.26942,   -0.00164,    2.76143,   -0.25968,   -0.13618,    0.03199,Segment:  39
   2.86601,    1.26933,   -0.00156,    2.82864,   -0.26881,   -0.13384,    0.03688,Segment:  40
   2.91968,    1.26925,   -0.00147,    2.89616,   -0.27781,   -0.13117,    0.04158,Segment:  41
   2.97361,    1.26917,   -0.00137,    2.96403,   -0.28666,   -0.12817,    0.04606,Segment:  42
   3.02783,    1.26909,   -0.00127,    3.03230,   -0.29535,   -0.12485,    0.05030,Segment:  43
   3.08239,    1.26903,   -0.00116,    3.10101,   -0.30385,   -0.12123,    0.05430,Segment:  44
   3.13731,    1.26896,   -0.00105,    3.17021,   -0.31214,   -0.11731,    0.05802,Segment:  45
   3.19263,    1.26890,   -0.00094,    3.23994,   -0.32021,   -0.11311,    0.06147,Segment:  46
   3.24838,    1.26885,   -0.00082,    3.31025,   -0.32804,   -0.10865,    0.06463,Segment:  47
   3.30459,    1.26881,   -0.00071,    3.38117,   -0.33561,   -0.10394,    0.06750,Segment:  48
   3.36130,    1.26876,   -0.00060,    3.45275,   -0.34290,   -0.09899,    0.07006,Segment:  49
   3.41855,    1.26873,   -0.00050,    3.52505,   -0.34989,   -0.09381,    0.07233,Segment:  50
   3.47636,    1.26870,   -0.00039,    3.59809,   -0.35657,   -0.08843,    0.07430,Segment:  51
   3.53478,    1.26868,   -0.00030,    3.67193,   -0.36291,   -0.08286,    0.07597,Segment:  52
   3.59383,    1.26866,   -0.00020,    3.74661,   -0.36890,   -0.07712,    0.07736,Segment:  53
   3.65356,    1.26865,   -0.00012,    3.82218,   -0.37451,   -0.07121,    0.07846,Segment:  54
   3.71400,    1.26864,   -0.56766,    3.89867,   -0.37973,   -0.06516,    0.07929,Segment:  55
   3.77604,    1.23342,   -1.01600,    3.97614,   -0.38455,   -0.05899,    0.07985,Segment:  56
   3.84154,    1.16688,   -1.01600,    4.05462,   -0.38894,   -0.05270,    0.08016,Segment:  57
   3.91195,    1.09534,   -1.01600,    4.13417,   -0.39288,   -0.04631,    0.08023,Segment:  58
   3.98835,    1.01771,   -1.01600,    4.21482,   -0.39635,   -0.03984,    0.08008,Segment:  59
   4.07230,    0.93242,   -1.01600,    4.29662,   -0.39935,   -0.03329,    0.07972,Segment:  60
   4.16614,    0.83708,   -1.01600,    4.37961,   -0.40184,   -0.02670,    0.07917,Segment:  61
   4.27383,    0.72766,   -1.01600,    4.46384,   -0.40380,   -0.02006,    0.07843,Segment:  62
   4.40302,    0.59641,   -1.01600,    4.54935,   -0.40523,   -0.01338,    0.07754,Segment:  63
   4.57333,    0.42337,   -1.01600,    4.63619,   -0.40611,   -0.00670,    0.07649,Segment:  64
   4.99004,    0.00000,   -1.01600,    4.72440,   -0.40640,    0.00000,    0.07531,Segment:  65
#======= TRAJECTORY END: Swarcie Config
