#======= TRAJECTORY BEGIN: Turn Left 90 Deg
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     6.299       4.124       0.000       0.000       0.000       0.000       0.200
#--------Waypoint:     8.839       6.655       1.571       2.540       2.530       1.571       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.74320  m/s
#--------Maximum Acceleration:      1.90500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.74320  m/s
#--------Track width:               1.06680  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               1.06680  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.09000  V
#--------Feedforward Kv:            3.50394  V s/m
#--------Feedforward Ka:            0.39370  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.90500,    0.00000,    0.00000,    0.00000,    0.35540,Segment:  1
   0.26518,    0.50518,    1.90500,    0.06698,    0.00080,    0.02393,    0.35911,Segment:  2
   0.37438,    0.71320,    1.90500,    0.13346,    0.00319,    0.04794,    0.36266,Segment:  3
   0.45775,    0.87202,    1.90500,    0.19942,    0.00715,    0.07202,    0.36607,Segment:  4
   0.52771,    1.00528,    1.90500,    0.26485,    0.01266,    0.09616,    0.36932,Segment:  5
   0.58905,    1.12215,    1.90500,    0.32972,    0.01971,    0.12036,    0.37241,Segment:  6
   0.64428,    1.22735,    1.90500,    0.39403,    0.02828,    0.14462,    0.37535,Segment:  7
   0.69485,    1.32370,    1.90500,    0.45775,    0.03835,    0.16893,    0.37814,Segment:  8
   0.74174,    1.41302,    1.90500,    0.52086,    0.04991,    0.19327,    0.38077,Segment:  9
   0.78562,    1.49660,    1.90500,    0.58335,    0.06293,    0.21766,    0.38326,Segment:  10
   0.82697,    1.57538,    1.90500,    0.64520,    0.07740,    0.24208,    0.38561,Segment:  11
   0.90351,    1.72119,    1.90500,    0.76690,    0.11063,    0.29101,    0.38988,Segment:  12
   0.97348,    1.85448,    1.61495,    0.88582,    0.14944,    0.34002,    0.39362,Segment:  13
   1.03859,    1.95963,   -0.10843,    1.00183,    0.19371,    0.38911,    0.39686,Segment:  14
   1.10164,    1.95279,   -0.09138,    1.11477,    0.24328,    0.43824,    0.39964,Segment:  15
   1.16454,    1.94704,   -0.07605,    1.22451,    0.29804,    0.48740,    0.40201,Segment:  16
   1.22729,    1.94227,   -0.06222,    1.33090,    0.35782,    0.53659,    0.40398,Segment:  17
   1.28993,    1.93837,   -0.04961,    1.43379,    0.42250,    0.58580,    0.40561,Segment:  18
