#======= TRAJECTORY BEGIN: Turn Right 90 Deg
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     6.299       4.124       0.000       0.000       0.000       0.000       0.200
#--------Waypoint:     8.839       1.575      -1.571       2.540      -2.550      -1.571       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.74320  m/s
#--------Maximum Acceleration:      1.90500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.74320  m/s
#--------Track width:               1.06680  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               1.06680  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.09000  V
#--------Feedforward Kv:            3.50394  V s/m
#--------Feedforward Ka:            0.39370  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.90500,    0.00000,    0.00000,    0.00000,   -0.35716,Segment:  1
   0.26567,    0.50611,    1.90500,    0.06723,   -0.00081,   -0.02414,   -0.36104,Segment:  2
   0.37506,    0.71448,    1.90500,    0.13394,   -0.00323,   -0.04837,   -0.36475,Segment:  3
   0.45856,    0.87355,    1.90500,    0.20012,   -0.00724,   -0.07267,   -0.36830,Segment:  4
   0.52861,    1.00700,    1.90500,    0.26575,   -0.01282,   -0.09704,   -0.37167,Segment:  5
   0.59004,    1.12402,    1.90500,    0.33081,   -0.01995,   -0.12148,   -0.37487,Segment:  6
   0.64533,    1.22935,    1.90500,    0.39529,   -0.02863,   -0.14597,   -0.37789,Segment:  7
   0.69596,    1.32580,    1.90500,    0.45917,   -0.03882,   -0.17050,   -0.38074,Segment:  8
   0.74290,    1.41522,    1.90500,    0.52243,   -0.05051,   -0.19508,   -0.38343,Segment:  9
   0.78682,    1.49889,    1.90500,    0.58505,   -0.06369,   -0.21970,   -0.38594,Segment:  10
   0.82821,    1.57774,    1.90500,    0.64702,   -0.07833,   -0.24435,   -0.38829,Segment:  11
   0.90482,    1.72368,    1.90500,    0.76892,   -0.11194,   -0.29373,   -0.39250,Segment:  12
   0.97485,    1.85709,    1.48484,    0.88801,   -0.15119,   -0.34318,   -0.39610,Segment:  13
   1.04016,    1.95406,   -0.09565,    1.00413,   -0.19595,   -0.39268,   -0.39912,Segment:  14
   1.10353,    1.94800,   -0.07638,    1.11715,   -0.24607,   -0.44219,   -0.40161,Segment:  15
   1.16671,    1.94317,   -0.05907,    1.22692,   -0.30141,   -0.49169,   -0.40361,Segment:  16
   1.22974,    1.93945,   -0.04352,    1.33332,   -0.36182,   -0.54118,   -0.40516,Segment:  17
   1.29262,    1.93671,   -0.02952,    1.43619,   -0.42716,   -0.59063,   -0.40631,Segment:  18
   1.35538,    1.93486,   -0.01679,    1.53540,   -0.49730,   -0.64006,   -0.40708,Segment:  19
   1.41806,    1.93381,   -0.00504,    1.63082,   -0.57208,   -0.68944,   -0.40753,Segment:  20
   1.48066,    1.93349,    0.00602,    1.72230,   -0.65136,   -0.73879,   -0.40766,Segment:  21
   1.54322,    1.93387,    0.01674,    1.80969,   -0.73500,   -0.78810,   -0.40750,Segment:  22
   1.60577,    1.93492,    0.02743,    1.89288,   -0.82287,   -0.83739,   -0.40706,Segment:  23
   1.66833,    1.93663,    0.03843,    1.97170,   -0.91480,   -0.88665,   -0.40634,Segment:  24
   1.73093,    1.93904,    0.05007,    2.04603,   -1.01067,   -0.93589,   -0.40533,Segment:  25
   1.79359,    1.94218,    0.06264,    2.11572,   -1.11032,   -0.98511,   -0.40402,Segment:  26
   1.85635,    1.94611,    0.07644,    2.18064,   -1.21362,   -1.03431,   -0.40239,Segment:  27
