#======= TRAJECTORY BEGIN: advance traj deliever, pick up cone, deliever, balance
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     3.937       2.216      -3.107      -0.000      -0.000       0.000       0.200
#--------Waypoint:     2.074       2.216      -2.470       1.862      -0.064       0.637       0.200
#--------Waypoint:     2.189       0.694      -0.803       1.799       1.461       2.304       0.200
#--------Waypoint:     4.283       0.713       0.017      -0.294       1.514       3.124       0.200
#--------Waypoint:     7.125       2.139      -3.064      -3.184       0.187       0.043       0.200
#--------Waypoint:     5.550       0.655      -3.064      -1.558       1.616       0.043       0.200
#--------Waypoint:     1.805       0.617      -2.880       2.186       1.525       0.227       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.74320  m/s
#--------Maximum Acceleration:      1.90500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.74320  m/s
#--------Track width:               1.06680  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               1.06680  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.09000  V
#--------Feedforward Kv:            3.50394  V s/m
#--------Feedforward Ka:            0.39370  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.90500,   -0.00000,   -0.00000,    0.00000,    0.00000,Segment:  1
   0.23354,    0.44489,    1.90500,    0.05192,   -0.00177,   -0.04906,   -0.19658,Segment:  2
   0.35404,    0.67445,    1.90500,    0.11927,   -0.00533,   -0.05503,   -0.03838,Segment:  3
   0.48474,    0.92343,    1.90500,    0.22352,   -0.01120,   -0.05693,   -0.00687,Segment:  4
   0.55170,    1.05099,    1.90500,    0.28952,   -0.01497,   -0.05717,   -0.00105,Segment:  5
   0.61876,    1.17874,    1.90500,    0.36416,   -0.01924,   -0.05710,    0.00252,Segment:  6
   0.68530,    1.30550,    1.90500,    0.44668,   -0.02395,   -0.05678,    0.00500,Segment:  7
   0.75076,    1.43019,    1.90500,    0.53607,   -0.02901,   -0.05625,    0.00698,Segment:  8
   0.81464,    1.55189,    1.90500,    0.63117,   -0.03433,   -0.05549,    0.00881,Segment:  9
   0.87650,    1.66973,    1.90500,    0.73066,   -0.03981,   -0.05452,    0.01074,Segment:  10
   0.93593,    1.78295,    1.56794,    0.83312,   -0.04534,   -0.05331,    0.01297,Segment:  11
   0.99288,    1.87224,   -1.90500,    0.93705,   -0.05081,   -0.05182,    0.01573,Segment:  12
   1.05010,    1.76324,   -1.90500,    1.04092,   -0.05611,   -0.05000,    0.01932,Segment:  13
   1.11013,    1.64889,   -1.90500,    1.14321,   -0.06112,   -0.04779,    0.02417,Segment:  14
   1.17261,    1.52985,   -1.90500,    1.24242,   -0.06573,   -0.04508,    0.03094,Segment:  15
   1.23717,    1.40687,   -1.90500,    1.33712,   -0.06985,   -0.04171,    0.04074,Segment:  16
   1.30337,    1.28076,   -1.90500,    1.42601,   -0.07338,   -0.03749,    0.05543,Segment:  17
   1.37073,    1.15243,   -1.90500,    1.50792,   -0.07625,   -0.03209,    0.07838,Segment:  18
   1.43874,    1.02288,   -1.90500,    1.58185,   -0.07838,   -0.02505,    0.11601,Segment:  19
   1.50681,    0.89321,   -1.90500,    1.64705,   -0.07972,   -0.01561,    0.18127,Segment:  20
   1.64052,    0.63849,   -1.90500,    1.74945,   -0.07999,    0.01628,    0.54612,Segment:  21
   1.76641,    0.39867,   -1.90500,    1.81467,   -0.07710,    0.09040,    2.42604,Segment:  22
   1.82549,    0.28612,   -1.90500,    1.83475,   -0.07461,    0.16810,    6.09750,Segment:  23
   1.85468,    0.23052,   -1.12546,    1.84215,   -0.07315,    0.22687,    9.93597,Segment:  24
   1.88315,    0.19848,   -0.79361,    1.84804,   -0.07156,    0.30405,   15.93086,Segment:  25
   1.89659,    0.18781,   -0.59559,    1.85050,   -0.07073,    0.35013,   19.69093,Segment:  26
   1.90929,    0.18025,   -0.48613,    1.85268,   -0.06987,    0.40065,   23.57498,Segment:  27
   1.92122,    0.17445,   -0.44494,    1.85460,   -0.06900,    0.45413,   26.87082,Segment:  28
   1.93244,    0.16945,    0.20366,    1.85632,   -0.06811,    0.50792,   28.47530,Segment:  29
   1.94291,    0.17158,    0.26632,    1.85785,   -0.06720,    0.55806,   27.09375,Segment:  30
   1.95261,    0.17416,   -0.97737,    1.85925,   -0.06628,    0.59961,   21.73017,Segment:  31
   1.97186,    0.15534,   -0.61736,    1.86183,   -0.06443,    0.63736,    0.00000,Segment:  32
   1.99305,    0.14226,   -0.36801,    1.86434,   -0.06251,    0.67828,   24.41623,Segment:  33
   2.00469,    0.13798,   -0.30808,    1.86558,   -0.06146,    0.72506,   32.31184,Segment:  34
   2.01717,    0.13413,   -0.15500,    1.86682,   -0.06030,    0.78403,   36.46645,Segment:  35
   2.03064,    0.13205,    0.15870,    1.86805,   -0.05899,    0.85045,   37.07269,Segment:  36
   2.04503,    0.13433,    0.21686,    1.86926,   -0.05751,    0.91978,   34.90845,Segment:  37
   2.06027,    0.13763,    0.35383,    1.87046,   -0.05582,    0.98824,   31.03219,Segment:  38
   2.07634,    0.14332,    0.55898,    1.87164,   -0.05389,    1.05312,   26.44435,Segment:  39
   2.09307,    0.15267,    0.82852,    1.87279,   -0.05171,    1.11279,   21.87732,Segment:  40
   2.11011,    0.16679,    1.16247,    1.87393,   -0.04923,    1.16652,   17.75271,Segment:  41
   2.12708,    0.18652,    1.56304,    1.87504,   -0.04645,    1.21425,   14.24405,Segment:  42
   2.14363,    0.21239,    1.90500,    1.87613,   -0.04333,    1.25628,   11.36891,Segment:  43
   2.17501,    0.27216,    1.90500,    1.87821,   -0.03602,    1.32534,    7.24509,Segment:  44
   2.20518,    0.32963,    1.90500,    1.88016,   -0.02715,    1.37827,    4.69218,Segment:  45
   2.26498,    0.44356,    1.90500,    1.88365,   -0.00430,    1.45112,    2.12822,Segment:  46
   2.32558,    0.55900,    1.90500,    1.88650,    0.02595,    1.49697,    1.07790,Segment:  47
   2.44956,    0.79518,    1.90500,    1.89013,    0.10981,    1.54904,    0.36669,Segment:  48
   2.57454,    1.03327,    1.90500,    1.89081,    0.22407,    1.57700,    0.16719,Segment:  49
   2.63621,    1.15075,    1.90500,    1.89005,    0.29141,    1.58664,    0.12339,Segment:  50
   2.69672,    1.26603,    1.90500,    1.88859,    0.36452,    1.59457,    0.09604,Segment:  51
   2.75568,    1.37834,    1.90500,    1.88646,    0.44244,    1.60133,    0.07865,Segment:  52
   2.81270,    1.48697,    1.90500,    1.88372,    0.52409,    1.60726,    0.06769,Segment:  53
   2.86745,    1.59125,    1.90500,    1.88042,    0.60828,    1.61267,    0.06124,Segment:  54
   2.91960,    1.69061,   -1.48057,    1.87661,    0.69378,    1.61776,    0.05825,Segment:  55
   2.97144,    1.61386,   -1.90500,    1.87238,    0.77933,    1.62273,    0.05831,Segment:  56
   3.02549,    1.51090,   -1.90500,    1.86779,    0.86365,    1.62776,    0.06149,Segment:  57
   3.08176,    1.40370,   -1.90500,    1.86290,    0.94551,    1.63306,    0.06836,Segment:  58
   3.13990,    1.29295,   -1.90500,    1.85781,    1.02373,    1.63884,    0.08021,Segment:  59
   3.19950,    1.17941,   -1.90500,    1.85257,    1.09722,    1.64539,    0.09946,Segment:  60
   3.26013,    1.06391,   -1.90500,    1.84725,    1.16502,    1.65311,    0.13060,Segment:  61
   3.38244,    0.83091,   -1.90500,    1.83663,    1.28041,    1.67461,    0.27142,Segment:  62
   3.50224,    0.60270,   -1.90500,    1.82637,    1.36566,    1.71297,    0.75689,Segment:  63
   3.61420,    0.38940,   -1.90500,    1.81674,    1.42036,    1.79648,    3.07205,Segment:  64
   3.66607,    0.29059,   -1.90500,    1.81218,    1.43740,    1.87913,    7.14628,Segment:  65
   3.69128,    0.24256,   -1.06583,    1.80997,    1.44375,    1.93887,   11.01319,Segment:  66
   3.71547,    0.21678,   -0.80361,    1.80779,    1.44886,    2.01405,   16.45748,Segment:  67
   3.72681,    0.20767,   -0.64450,    1.80671,    1.45101,    2.05731,   19.53926,Segment:  68
   3.73757,    0.20073,   -0.56093,    1.80564,    1.45293,    2.10344,   22.42401,Segment:  69
   3.74776,    0.19502,   -0.33493,    1.80458,    1.45464,    2.15090,   24.49609,Segment:  70
   3.75740,    0.19179,   -0.68264,    1.80352,    1.45617,    2.19734,   24.94033,Segment:  71
   3.77574,    0.17927,   -1.49898,    1.80141,    1.45885,    2.27383,   17.89997,Segment:  72
   3.79493,    0.15050,   -0.44407,    1.79932,    1.46122,    2.30446,   -0.00000,Segment:  73
   3.81672,    0.14083,   -0.32180,    1.79716,    1.46354,    2.35402,   28.51209,Segment:  74
   3.82879,    0.13694,   -0.30381,    1.79594,    1.46470,    2.40849,   35.39248,Segment:  75
   3.84206,    0.13291,    0.15974,    1.79457,    1.46585,    2.47389,   36.81913,Segment:  76
   3.85657,    0.13523,    0.23776,    1.79300,    1.46700,    2.54344,   34.17075,Segment:  77
   3.87222,    0.13895,    0.42842,    1.79119,    1.46815,    2.61170,   29.32642,Segment:  78
   3.88899,    0.14613,    0.71653,    1.78909,    1.46929,    2.67517,   23.88113,Segment:  79
   3.90656,    0.15872,    1.09856,    1.78666,    1.47042,    2.73206,   18.81376,Segment:  80
   3.92440,    0.17833,    1.57655,    1.78387,    1.47154,    2.78188,   14.54685,Segment:  81
   3.94197,    0.20603,    1.90500,    1.78069,    1.47266,    2.82493,   11.15286,Segment:  82
   3.97560,    0.27008,    1.90500,    1.77299,    1.47487,    2.89347,    6.55720,Segment:  83
   4.00841,    0.33259,    1.90500,    1.76334,    1.47704,    2.94374,    3.94486,Segment:  84
   4.04135,    0.39534,    1.90500,    1.75154,    1.47916,    2.98103,    2.45598,Segment:  85
