#======= TRAJECTORY BEGIN: play with trajectory
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.786       0.713      -0.209      -0.000      -0.000       0.000       0.200
#--------Waypoint:     7.029       0.983      -3.107       5.072       1.354      -2.898       0.200
#--------Waypoint:     4.417       0.752      -3.090       2.566       0.585      -2.880       0.200
#--------Waypoint:     1.805       0.617      -2.880       0.039      -0.090      -2.670       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.74320  m/s
#--------Maximum Acceleration:      1.90500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.74320  m/s
#--------Track width:               1.06680  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               1.06680  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.09000  V
#--------Feedforward Kv:            3.50394  V s/m
#--------Feedforward Ka:            0.39370  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52455,   -0.00000,   -0.00000,   -0.00000,    0.00000,Segment:  1
   0.06592,    0.10050,    1.62995,    0.00331,    0.00005,    0.04133,   18.70507,Segment:  2
   0.10028,    0.15650,    1.90500,    0.00771,    0.00040,    0.11116,   11.86152,Segment:  3
   0.17211,    0.29334,    1.90500,    0.02365,    0.00305,    0.19453,    2.15872,Segment:  4
   0.35291,    0.63777,    1.90500,    0.10566,    0.02203,    0.24118,    0.15481,Segment:  5
   0.45786,    0.83770,    1.90500,    0.18076,    0.04085,    0.24868,    0.06139,Segment:  6
   0.56905,    1.04950,    1.90500,    0.28238,    0.06692,    0.25306,    0.02879,Segment:  7
   0.62633,    1.15862,    1.90500,    0.34359,    0.08281,    0.25461,    0.02070,Segment:  8
   0.68443,    1.26931,    1.90500,    0.41184,    0.10062,    0.25586,    0.01529,Segment:  9
   0.74316,    1.38118,    1.90500,    0.48713,    0.12036,    0.25689,    0.01157,Segment:  10
   0.80233,    1.49390,    1.90500,    0.56938,    0.14200,    0.25776,    0.00894,Segment:  11
   0.86176,    1.60713,    1.90500,    0.65849,    0.16553,    0.25849,    0.00704,Segment:  12
   0.92131,    1.72057,    1.90500,    0.75427,    0.19089,    0.25911,    0.00564,Segment:  13
   0.98082,    1.83393,    1.90500,    0.85649,    0.21802,    0.25965,    0.00458,Segment:  14
   1.04015,    1.94696,    1.90500,    0.96489,    0.24684,    0.26012,    0.00378,Segment:  15
   1.09918,    2.05941,    1.90500,    1.07915,    0.27727,    0.26053,    0.00316,Segment:  16
   1.15777,    2.17103,    1.90500,    1.19890,    0.30922,    0.26089,    0.00267,Segment:  17
   1.18687,    2.22646,    1.90500,    1.26071,    0.32573,    0.26105,    0.00247,Segment:  18
   1.21582,    2.28161,    1.90500,    1.32375,    0.34258,    0.26121,    0.00229,Segment:  19
   1.24460,    2.33644,    1.90500,    1.38796,    0.35974,    0.26135,    0.00212,Segment:  20
   1.27321,    2.39094,    1.90500,    1.45328,    0.37722,    0.26149,    0.00198,Segment:  21
   1.30163,    2.44507,    1.90500,    1.51965,    0.39499,    0.26162,    0.00185,Segment:  22
   1.32984,    2.49881,    1.90500,    1.58702,    0.41303,    0.26175,    0.00173,Segment:  23
   1.35784,    2.55215,    1.90500,    1.65532,    0.43133,    0.26186,    0.00162,Segment:  24
   1.38561,    2.60506,    1.90500,    1.72449,    0.44987,    0.26198,    0.00152,Segment:  25
   1.41314,    2.65750,    1.90500,    1.79446,    0.46864,    0.26208,    0.00144,Segment:  26
   1.44042,    2.70948,    1.17421,    1.86517,    0.48761,    0.26219,    0.00136,Segment:  27
   1.46754,    2.74132,    0.00354,    1.93655,    0.50677,    0.26228,    0.00128,Segment:  28
   1.49473,    2.74142,    0.00320,    2.00854,    0.52610,    0.26238,    0.00122,Segment:  29
   1.52213,    2.74151,    0.00290,    2.08107,    0.54558,    0.26247,    0.00116,Segment:  30
   1.54969,    2.74159,    0.00263,    2.15406,    0.56520,    0.26255,    0.00110,Segment:  31
   1.57741,    2.74166,    0.00239,    2.22744,    0.58492,    0.26263,    0.00105,Segment:  32
   1.60525,    2.74173,    0.00217,    2.30115,    0.60474,    0.26271,    0.00101,Segment:  33
   1.63319,    2.74179,    0.00197,    2.37512,    0.62464,    0.26279,    0.00097,Segment:  34
   1.66119,    2.74184,    0.00180,    2.44926,    0.64459,    0.26286,    0.00093,Segment:  35
   1.68924,    2.74189,    0.00163,    2.52351,    0.66457,    0.26293,    0.00089,Segment:  36
   1.71729,    2.74194,    0.00148,    2.59780,    0.68457,    0.26300,    0.00086,Segment:  37
   1.74534,    2.74198,    0.00135,    2.67205,    0.70456,    0.26306,    0.00083,Segment:  38
   1.77334,    2.74202,    0.00122,    2.74620,    0.72453,    0.26313,    0.00081,Segment:  39
   1.80128,    2.74205,    0.00110,    2.82016,    0.74446,    0.26319,    0.00079,Segment:  40
   1.82912,    2.74208,    0.00098,    2.89387,    0.76432,    0.26325,    0.00076,Segment:  41
   1.85684,    2.74211,    0.00088,    2.96726,    0.78410,    0.26330,    0.00075,Segment:  42
   1.88440,    2.74213,    0.00077,    3.04025,    0.80378,    0.26336,    0.00073,Segment:  43
   1.91180,    2.74215,   -0.42009,    3.11277,    0.82333,    0.26341,    0.00072,Segment:  44
   1.93904,    2.73071,   -1.90500,    3.18476,    0.84275,    0.26347,    0.00070,Segment:  45
   1.96638,    2.67864,   -1.90500,    3.25614,    0.86200,    0.26352,    0.00069,Segment:  46
   1.99399,    2.62604,   -1.90500,    3.32684,    0.88108,    0.26357,    0.00068,Segment:  47
   2.02186,    2.57293,   -1.90500,    3.39680,    0.89996,    0.26362,    0.00068,Segment:  48
   2.05000,    2.51934,   -1.90500,    3.46595,    0.91863,    0.26367,    0.00067,Segment:  49
   2.07837,    2.46529,   -1.90500,    3.53423,    0.93706,    0.26371,    0.00067,Segment:  50
   2.10698,    2.41079,   -1.90500,    3.60157,    0.95525,    0.26376,    0.00067,Segment:  51
   2.13581,    2.35586,   -1.90500,    3.66791,    0.97316,    0.26381,    0.00067,Segment:  52
   2.16486,    2.30053,   -1.90500,    3.73319,    0.99080,    0.26385,    0.00067,Segment:  53
   2.19410,    2.24483,   -1.90500,    3.79734,    1.00813,    0.26390,    0.00068,Segment:  54
   2.22352,    2.18877,   -1.90500,    3.86032,    1.02515,    0.26394,    0.00069,Segment:  55
   2.28289,    2.07568,   -1.90500,    3.98251,    1.05817,    0.26403,    0.00071,Segment:  56
   2.34284,    1.96147,   -1.90500,    4.09934,    1.08976,    0.26412,    0.00075,Segment:  57
   2.40328,    1.84633,   -1.90500,    4.21042,    1.11981,    0.26421,    0.00080,Segment:  58
   2.46409,    1.73049,   -1.90500,    4.31539,    1.14821,    0.26430,    0.00087,Segment:  59
   2.52515,    1.61418,   -1.90500,    4.41395,    1.17489,    0.26439,    0.00098,Segment:  60
   2.58633,    1.49763,   -1.90500,    4.50583,    1.19977,    0.26449,    0.00112,Segment:  61
   2.64750,    1.38111,   -1.90500,    4.59081,    1.22279,    0.26460,    0.00132,Segment:  62
   2.70851,    1.26487,   -1.90500,    4.66873,    1.24391,    0.26471,    0.00160,Segment:  63
   2.76924,    1.14919,   -1.90500,    4.73947,    1.26309,    0.26484,    0.00201,Segment:  64
   2.88916,    0.92073,   -1.90500,    4.85926,    1.29559,    0.26517,    0.00357,Segment:  65
   3.00597,    0.69821,   -1.90500,    4.95050,    1.32039,    0.26566,    0.00778,Segment:  66
   3.11839,    0.48405,   -1.90500,    5.01462,    1.33786,    0.26653,    0.02261,Segment:  67
   3.34554,    0.05133,   -0.36600,    5.07325,    1.35399,    0.27599,    1.60685,Segment:  68
   3.46863,    0.00628,   -0.04979,    5.07665,    1.35497,    0.29890,   32.43122,Segment:  69
   3.55789,    0.00184,   -0.01371,    5.07700,    1.35508,    0.32330,  148.88983,Segment:  70
   3.65185,    0.00055,   -0.00198,    5.07710,    1.35512,    0.35264,  478.89464,Segment:  71
   3.84270,    0.00017,   -0.00096,    5.07717,    1.35515,    0.43274, 3147.96289,Segment:  72
   3.92360,    0.00009,   -0.00038,    5.07717,    1.35515,    0.47999, 6476.97856,Segment:  73
   4.03818,    0.00005,   -0.00021,    5.07718,    1.35515,    0.56171, 16441.97569,Segment:  74
   4.11462,    0.00003,   -0.00015,    5.07718,    1.35516,    0.62926, 29536.63878,Segment:  75
   4.16021,    0.00003,   -0.00010,    5.07719,    1.35516,    0.67507, 41245.51890,Segment:  76
   4.21162,    0.00002,   -0.00007,    5.07719,    1.35516,    0.73288, 59497.57506,Segment:  77
   4.26841,    0.00002,   -0.00006,    5.07719,    1.35516,    0.80752, 88950.57218,Segment:  78
   4.29873,    0.00001,   -0.00004,    5.07719,    1.35516,    0.85331, 110267.02559,Segment:  79
   4.33008,    0.00001,   -0.00004,    5.07719,    1.35516,    0.90627, 137873.04375,Segment:  80
   4.36211,    0.00001,   -0.00003,    5.07719,    1.35516,    0.96788, 173646.82184,Segment:  81
   4.39438,    0.00001,   -0.00002,    5.07719,    1.35516,    1.03982, 219724.38094,Segment:  82
   4.42648,    0.00001,   -0.00002,    5.07719,    1.35516,    1.12397, 278073.14978,Segment:  83
   4.44239,    0.00001,   -0.00002,    5.07719,    1.35516,    1.17121, 312180.39024,Segment:  84
   4.45816,    0.00001,   -0.00002,    5.07719,    1.35516,    1.22219, 349453.67143,Segment:  85
   4.47377,    0.00001,   -0.00001,    5.07719,    1.35516,    1.27706, 389481.46232,Segment:  86
   4.48923,    0.00001,   -0.00001,    5.07719,    1.35516,    1.33591, 431491.33848,Segment:  87
