#======= TRAJECTORY BEGIN: TwoPieceAuto_Move_1
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     2.017       1.079       0.000       0.000       0.000       0.000       4.000
#--------Waypoint:     7.106       1.657       0.716       5.089       0.578       0.716       5.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.65760  m/s
#--------Maximum Acceleration:      6.35000  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.65760  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.40640  m
#--------Module   1 Y:             -0.33020  m
#--------Module   2 X:              0.40640  m
#--------Module   2 Y:              0.33020  m
#--------Module   3 X:             -0.40640  m
#--------Module   3 Y:              0.33020  m
#--------Module   4 X:             -0.40640  m
#--------Module   4 Y:             -0.33020  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    6.35000,    0.00000,    0.00000,    0.00000,   -0.19321,Segment:  1
   0.14125,    0.89693,    6.35000,    0.06334,   -0.00037,   -0.01138,   -0.16684,Segment:  2
   0.20106,    1.27673,    6.35000,    0.12834,   -0.00144,   -0.02146,   -0.14384,Segment:  3
   0.24780,    1.57354,    6.35000,    0.19493,   -0.00318,   -0.03035,   -0.12367,Segment:  4
   0.28789,    1.82807,    6.35000,    0.26306,   -0.00552,   -0.03816,   -0.10589,Segment:  5
   0.32377,    2.05591,    6.35000,    0.33268,   -0.00842,   -0.04498,   -0.09011,Segment:  6
   0.35669,    2.26499,    6.35000,    0.40373,   -0.01184,   -0.05088,   -0.07605,Segment:  7
   0.38739,    2.45994,    6.35000,    0.47616,   -0.01571,   -0.05593,   -0.06343,Segment:  8
   0.41634,    2.64376,    6.35000,    0.54991,   -0.02000,   -0.06018,   -0.05204,Segment:  9
   0.44386,    2.81851,    6.35000,    0.62492,   -0.02466,   -0.06370,   -0.04170,Segment:  10
   0.47018,    2.98565,    6.35000,    0.70115,   -0.02964,   -0.06652,   -0.03226,Segment:  11
   0.49548,    3.14629,    6.35000,    0.77853,   -0.03488,   -0.06868,   -0.02358,Segment:  12
   0.51988,    3.30125,    6.35000,    0.85701,   -0.04034,   -0.07021,   -0.01556,Segment:  13
   0.54350,    3.45120,    6.35000,    0.93654,   -0.04598,   -0.07115,   -0.00808,Segment:  14
   0.56640,    3.59666,    2.38277,    1.01706,   -0.05173,   -0.07152,   -0.00108,Segment:  15
   0.58894,    3.65036,   -0.36186,    1.09851,   -0.05756,   -0.07133,    0.00553,Segment:  16
   0.61158,    3.64217,   -0.34012,    1.18085,   -0.06342,   -0.07061,    0.01180,Segment:  17
   0.63449,    3.63438,   -0.32161,    1.26401,   -0.06926,   -0.06938,    0.01781,Segment:  18
