#======= TRAJECTORY BEGIN: Two Piece Auto Move 2
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.144       1.715       1.588      -0.000      -0.000       0.000       0.200
#--------Waypoint:     7.010       2.660       1.850       0.947       0.118       0.262       0.200
#--------Waypoint:     6.415       3.064      -1.623       1.362       0.706       3.072       0.200
#--------Waypoint:     5.742       2.602      -1.972       0.911       1.386       2.723       0.200
#--------Waypoint:     4.859       1.041       3.002      -0.635       2.297       1.414       0.200
#--------Waypoint:     1.901       1.118      -3.124      -0.506       5.253       1.571       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      4.57200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.40640  m
#--------Module   1 Y:             -0.33020  m
#--------Module   2 X:              0.40640  m
#--------Module   2 Y:              0.33020  m
#--------Module   3 X:             -0.40640  m
#--------Module   3 Y:              0.33020  m
#--------Module   4 X:             -0.40640  m
#--------Module   4 Y:             -0.33020  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    4.57200,   -0.00000,   -0.00000,    0.00000,    0.00986,Segment:  1
   0.17616,    0.80541,    4.57200,    0.07094,    0.00005,    0.00188,    0.04369,Segment:  2
   0.24803,    1.13401,    4.57200,    0.14064,    0.00032,    0.00619,    0.08079,Segment:  3
   0.30238,    1.38248,    4.57200,    0.20901,    0.00096,    0.01309,    0.12184,Segment:  4
   0.34748,    1.58868,    4.57200,    0.27600,    0.00215,    0.02275,    0.16761,Segment:  5
   0.38655,    1.76732,    4.57200,    0.34154,    0.00403,    0.03539,    0.21901,Segment:  6
   0.42125,    1.92595,    4.57200,    0.40555,    0.00679,    0.05123,    0.27707,Segment:  7
   0.48111,    2.19964,    3.42296,    0.52872,    0.01555,    0.09370,    0.41799,Segment:  8
   0.53231,    2.37489,   -4.30978,    0.64497,    0.02974,    0.15280,    0.60057,Segment:  9
   0.58111,    2.16459,   -4.32513,    0.75373,    0.05066,    0.23163,    0.83354,Segment:  10
   0.60628,    2.05572,   -4.14361,    0.80513,    0.06406,    0.27944,    0.96938,Segment:  11
   0.63211,    1.94868,   -3.80862,    0.85445,    0.07963,    0.33332,    1.11595,Segment:  12
   0.65870,    1.84743,   -3.33019,    0.90162,    0.09753,    0.39347,    1.26909,Segment:  13
   0.68610,    1.75618,   -0.41213,    0.94658,    0.11794,    0.45992,    1.42188,Segment:  14
   0.71380,    1.74476,   -0.08982,    0.98927,    0.14095,    0.52924,    1.43400,Segment:  15
   0.74122,    1.74230,    0.21209,    1.02968,    0.16649,    0.59782,    1.43302,Segment:  16
   0.76830,    1.74804,    0.48839,    1.06782,    0.19439,    0.66530,    1.42020,Segment:  17
   0.79500,    1.76108,    0.73484,    1.10370,    0.22452,    0.73135,    1.39733,Segment:  18
   0.82130,    1.78041,    0.94802,    1.13734,    0.25672,    0.79574,    1.36649,Segment:  19
   0.84717,    1.80493,    1.12543,    1.16873,    0.29086,    0.85830,    1.32990,Segment:  20
   0.87260,    1.83356,    1.26556,    1.19790,    0.32678,    0.91892,    1.28970,Segment:  21
   0.89760,    1.86519,    1.36794,    1.22485,    0.36433,    0.97758,    1.24788,Segment:  22
   0.92216,    1.89879,    1.43319,    1.24959,    0.40338,    1.03430,    1.20612,Segment:  23
   0.94630,    1.93338,    1.46294,    1.27212,    0.44377,    1.08916,    1.16585,Segment:  24
   0.97003,    1.96811,    1.45968,    1.29247,    0.48536,    1.14226,    1.12822,Segment:  25
   0.99338,    2.00219,    1.42664,    1.31063,    0.52801,    1.19375,    1.09411,Segment:  26
   1.01636,    2.03497,    1.36747,    1.32662,    0.57155,    1.24380,    1.06421,Segment:  27
   1.03900,    2.06592,    1.28611,    1.34044,    0.61586,    1.29259,    1.03903,Segment:  28
   1.06131,    2.09462,    0.53669,    1.35212,    0.66077,    1.34033,    1.01896,Segment:  29
   1.08338,    2.10646,   -4.57200,    1.36165,    0.70616,    1.38723,    1.00433,Segment:  30
   1.10591,    2.00349,   -4.41715,    1.36896,    0.75186,    1.43853,    1.21464,Segment:  31
   1.12955,    1.89905,   -4.57200,    1.37369,    0.79775,    1.49966,    1.43669,Segment:  32
   1.15451,    1.78493,   -4.57200,    1.37536,    0.84370,    1.57095,    1.66360,Segment:  33
   1.18114,    1.66319,   -4.04941,    1.37352,    0.88957,    1.65242,    1.88158,Segment:  34
   1.19520,    1.60624,   -3.40993,    1.37114,    0.91244,    1.69684,    1.98089,Segment:  35
   1.20978,    1.55653,   -2.77367,    1.36771,    0.93523,    1.74356,    2.06958,Segment:  36
   1.22486,    1.51469,   -2.14770,    1.36318,    0.95795,    1.79239,    2.14433,Segment:  37
   1.24043,    1.48126,   -1.53692,    1.35748,    0.98056,    1.84311,    2.20185,Segment:  38
   1.25645,    1.45663,   -0.94442,    1.35056,    1.00306,    1.89542,    2.23926,Segment:  39
   1.27289,    1.44111,   -0.37200,    1.34236,    1.02542,    1.94899,    2.25433,Segment:  40
   1.28970,    1.43486,    0.17924,    1.33283,    1.04763,    2.00343,    2.24580,Segment:  41
   1.30683,    1.43793,    0.70819,    1.32190,    1.06967,    2.05834,    2.21351,Segment:  42
   1.32422,    1.45025,    1.21316,    1.30953,    1.09154,    2.11331,    2.15852,Segment:  43
   1.34184,    1.47161,    1.69140,    1.29564,    1.11320,    2.16792,    2.08301,Segment:  44
   1.35962,    1.50168,    2.13879,    1.28019,    1.13464,    2.22178,    1.99006,Segment:  45
   1.37752,    1.53998,    2.54988,    1.26312,    1.15586,    2.27454,    1.88336,Segment:  46
   1.39552,    1.58587,    2.91810,    1.24437,    1.17682,    2.32589,    1.76689,Segment:  47
   1.41358,    1.63858,    3.23633,    1.22389,    1.19752,    2.37557,    1.64459,Segment:  48
   1.43170,    1.69722,    3.49764,    1.20161,    1.21794,    2.42339,    1.52005,Segment:  49
   1.44987,    1.76078,    3.76429,    1.17747,    1.23806,    2.46919,    1.39641,Segment:  50
   1.48639,    1.89825,    3.89081,    1.12343,    1.27734,    2.55443,    1.16128,Segment:  51
   1.52333,    2.04199,    3.76287,    1.06129,    1.31523,    2.63107,    0.95222,Segment:  52
   1.56096,    2.18358,    3.43511,    0.99059,    1.35160,    2.69939,    0.77425,Segment:  53
   1.59960,    2.31630,    4.57200,    0.91089,    1.38632,    2.76000,    0.62707,Segment:  54
   1.63900,    2.49644,    4.57200,    0.82205,    1.41943,    2.80564,    0.35885,Segment:  55
   1.67845,    2.67679,    4.57200,    0.72523,    1.45162,    2.83252,    0.18093,Segment:  56
   1.71756,    2.85562,    3.24645,    0.62192,    1.48378,    2.84481,    0.05352,Segment:  57
   1.75636,    2.98157,   -2.92996,    0.51360,    1.51678,    2.84500,   -0.04616,Segment:  58
   1.79642,    2.86420,   -2.46332,    0.40178,    1.55150,    2.83446,   -0.13197,Segment:  59
   1.83903,    2.75923,   -2.28143,    0.28792,    1.58881,    2.81377,   -0.21301,Segment:  60
   1.88387,    2.65692,   -2.24667,    0.17353,    1.62958,    2.78291,   -0.29590,Segment:  61
   1.93075,    2.55161,   -2.27224,    0.06009,    1.67470,    2.74138,   -0.38586,Segment:  62
   1.97958,    2.44066,   -2.28562,   -0.05091,    1.72503,    2.68832,   -0.48698,Segment:  63
   2.03037,    2.32456,   -2.21666,   -0.15798,    1.78145,    2.62258,   -0.60181,Segment:  64
   2.08324,    2.20737,   -2.07689,   -0.25963,    1.84484,    2.54291,   -0.72998,Segment:  65
   2.11052,    2.15072,   -1.92428,   -0.30796,    1.87942,    2.49753,   -0.79761,Segment:  66
   2.13836,    2.09714,   -1.72167,   -0.35438,    1.91607,    2.44833,   -0.86590,Segment:  67
   2.16679,    2.04820,   -1.46771,   -0.39870,    1.95490,    2.39532,   -0.93289,Segment:  68
