#======= TRAJECTORY BEGIN: Sweve_2_move_1
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     6.528       4.674      -0.000       0.000       0.000       0.000       0.200
#--------Waypoint:     1.803       5.080      -0.000      -4.724       0.406       0.000       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.21920  m/s
#--------Maximum Acceleration:      1.21920  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.21920  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.40640  m
#--------Module   1 Y:             -0.33020  m
#--------Module   2 X:              0.40640  m
#--------Module   2 Y:              0.33020  m
#--------Module   3 X:             -0.40640  m
#--------Module   3 Y:              0.33020  m
#--------Module   4 X:             -0.40640  m
#--------Module   4 Y:             -0.33020  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -1.21920,    0.00000,    0.00000,    0.00000,    0.07531,Segment:  1
   0.38040,   -0.46378,   -1.21920,   -0.08821,    0.00029,   -0.00670,    0.07649,Segment:  2
   0.53587,   -0.65334,   -1.21920,   -0.17505,    0.00117,   -0.01338,    0.07754,Segment:  3
   0.65380,   -0.79712,   -1.21920,   -0.26056,    0.00260,   -0.02006,    0.07843,Segment:  4
   0.75211,   -0.91697,   -1.21920,   -0.34479,    0.00456,   -0.02670,    0.07917,Segment:  5
   0.83778,   -1.02142,   -1.21920,   -0.42778,    0.00705,   -0.03329,    0.07972,Segment:  6
   0.91441,   -1.11485,   -1.00621,   -0.50958,    0.01005,   -0.03984,    0.08008,Segment:  7
   0.98460,   -1.18547,    0.00287,   -0.59023,    0.01352,   -0.04631,    0.08023,Segment:  8
   1.05178,   -1.18528,    0.00132,   -0.66978,    0.01746,   -0.05270,    0.08016,Segment:  9
   1.11810,   -1.18519,   -0.00039,   -0.74826,    0.02185,   -0.05899,    0.07985,Segment:  10
   1.18359,   -1.18522,   -0.00226,   -0.82573,    0.02667,   -0.06516,    0.07929,Segment:  11
   1.24828,   -1.18536,   -0.00428,   -0.90222,    0.03189,   -0.07121,    0.07846,Segment:  12
   1.31219,   -1.18564,   -0.00644,   -0.97779,    0.03750,   -0.07712,    0.07736,Segment:  13
   1.37537,   -1.18604,   -0.00873,   -1.05247,    0.04349,   -0.08286,    0.07597,Segment:  14
   1.43785,   -1.18659,   -0.01114,   -1.12631,    0.04983,   -0.08843,    0.07430,Segment:  15
   1.49964,   -1.18728,   -0.01366,   -1.19935,    0.05651,   -0.09381,    0.07233,Segment:  16
   1.56080,   -1.18811,   -0.01626,   -1.27165,    0.06350,   -0.09899,    0.07006,Segment:  17
   1.62134,   -1.18910,   -0.01892,   -1.34323,    0.07079,   -0.10394,    0.06750,Segment:  18
